Region,Grape_Type,Season,Quality_Grade,Weight_kg,Sugar_Content_Brix,Farm_Size_ha,Distance_to_Market_km,Rainfall_mm,Price_TZS_per_kg
Mbeya,Thompson Seedless,Wet Season,Grade A,9.14,12.7,1.4,66.1,731.4,4745.79
Singida,Flame Seedless,Dry Season,Grade C,8.64,20.4,11.6,49.9,985.9,5749.64
Morogoro,Flame Seedless,Wet Season,Grade A,9.66,19.3,6.0,270.3,1105.3,4845.18
Singida,Red Globe,Wet Season,Grade B,7.72,19.5,16.6,214.5,497.2,4653.92
Singida,Thompson Seedless,Dry Season,Grade B,4.7,13.4,1.9,281.5,907.7,4393.63
Arusha,Red Globe,Wet Season,Grade A,3.46,13.5,4.9,183.0,865.7,4338.77
Morogoro,Muscat,Dry Season,Grade C,3.55,13.3,14.7,144.7,494.7,4584.68
Morogoro,Muscat,Wet Season,Grade A,7.38,12.6,12.2,22.6,569.5,5159.86
Morogoro,Red Globe,Dry Season,Grade C,7.59,19.8,1.8,203.1,648.8,5169.3
Singida,Flame Seedless,Dry Season,Grade B,2.4,22.7,17.6,176.8,533.5,5192.78
Mbeya,Flame Seedless,Wet Season,Grade C,8.75,20.9,17.6,297.1,595.0,3773.62
Morogoro,Red Globe,Wet Season,Grade B,7.29,21.9,6.9,75.6,614.1,5490.89
Singida,Red Globe,Wet Season,Grade C,5.85,16.1,7.1,161.6,668.5,4005.29
Arusha,Muscat,Wet Season,Grade C,4.98,19.8,19.8,197.0,999.5,4776.25
Mbeya,Flame Seedless,Wet Season,Grade C,5.66,15.3,12.7,195.2,857.5,3845.45
Arusha,Red Globe,Dry Season,Grade A,2.01,17.9,10.9,170.6,1189.0,6276.82
Mbeya,Muscat,Wet Season,Grade A,2.44,17.2,16.8,234.2,731.8,5078.81
Singida,Flame Seedless,Dry Season,Grade B,1.37,12.7,6.1,65.5,1003.1,4884.15
Dodoma,Thompson Seedless,Dry Season,Grade B,1.96,15.8,8.9,219.1,1097.2,4849.42
Mbeya,Muscat,Wet Season,Grade A,4.81,24.5,5.7,187.8,943.2,6055.68
Arusha,Flame Seedless,Dry Season,Grade B,5.54,13.7,15.9,269.3,729.5,4829.17
Singida,Flame Seedless,Dry Season,Grade A,0.67,12.0,11.7,254.9,1002.9,4452.12
Mbeya,Muscat,Dry Season,Grade C,8.07,16.3,13.3,98.0,562.9,5147.95
Dodoma,Thompson Seedless,Dry Season,Grade B,3.29,21.9,5.4,86.5,662.0,4977.11
Dodoma,Muscat,Wet Season,Grade B,9.16,18.7,4.8,294.6,837.3,4741.51
Morogoro,Flame Seedless,Dry Season,Grade A,9.69,20.2,10.0,160.5,860.3,5665.04
Morogoro,Red Globe,Wet Season,Grade B,2.26,12.8,14.9,272.4,417.7,3770.91
Arusha,Red Globe,Wet Season,Grade B,4.89,19.3,10.7,53.3,1156.1,5343.75
Mbeya,Muscat,Dry Season,Grade C,0.51,14.9,1.1,194.6,957.3,4939.92
Mbeya,Flame Seedless,Wet Season,Grade B,6.18,22.5,17.4,243.9,796.6,4810.94
Morogoro,Red Globe,Wet Season,Grade C,6.27,19.4,1.8,284.5,1146.5,4096.4
Mbeya,Flame Seedless,Wet Season,Grade A,2.85,13.0,19.1,104.5,751.3,4849.9
Mbeya,Muscat,Dry Season,Grade B,5.8,11.0,1.0,218.9,1184.3,4616.39
Dodoma,Red Globe,Wet Season,Grade C,2.64,10.6,14.0,163.9,809.8,3761.76
Morogoro,Flame Seedless,Wet Season,Grade A,2.03,15.6,2.1,22.9,491.4,4764.32
Singida,Red Globe,Wet Season,Grade B,6.69,14.0,18.3,208.5,1011.8,4639.7
Morogoro,Muscat,Dry Season,Grade A,3.6,19.7,9.6,208.6,943.1,6218.27
Singida,Flame Seedless,Wet Season,Grade B,6.11,17.5,3.2,279.5,1018.4,3846.99
Dodoma,Red Globe,Dry Season,Grade A,4.62,14.0,7.1,151.7,1161.2,5964.11
Arusha,Muscat,Dry Season,Grade A,9.85,12.2,3.7,72.9,1021.2,6681.05
Mbeya,Red Globe,Dry Season,Grade C,1.92,11.9,3.8,18.1,889.1,4233.45
Dodoma,Red Globe,Dry Season,Grade A,4.91,23.0,19.0,127.6,1085.8,6260.92
Mbeya,Thompson Seedless,Dry Season,Grade B,6.96,13.7,9.2,94.1,938.6,5027.92
Arusha,Thompson Seedless,Dry Season,Grade B,4.26,19.8,15.9,229.5,726.5,4912.78
Arusha,Muscat,Wet Season,Grade C,9.76,22.2,13.0,109.5,1108.5,6218.67
Dodoma,Thompson Seedless,Dry Season,Grade B,7.36,19.2,13.7,285.0,577.5,4877.69
Arusha,Muscat,Wet Season,Grade B,6.74,22.9,3.1,288.9,971.7,5467.91
Singida,Thompson Seedless,Wet Season,Grade B,7.69,15.9,5.1,188.2,1105.3,3731.81
Arusha,Red Globe,Dry Season,Grade A,9.55,24.3,15.8,279.0,985.1,6637.3
Mbeya,Muscat,Wet Season,Grade A,9.12,12.0,19.4,229.5,957.8,5079.74
Mbeya,Muscat,Wet Season,Grade B,7.38,11.5,5.6,166.3,1002.1,4383.69
Mbeya,Red Globe,Wet Season,Grade C,7.62,19.9,5.8,58.2,772.0,4825.89
Mbeya,Muscat,Wet Season,Grade A,1.89,24.1,9.7,140.3,1099.3,5617.87
Singida,Muscat,Dry Season,Grade C,1.48,22.1,19.7,170.5,562.7,5638.69
Morogoro,Thompson Seedless,Wet Season,Grade B,5.92,11.1,5.7,259.9,501.9,3426.46
Dodoma,Muscat,Dry Season,Grade B,0.67,14.2,8.4,147.0,628.4,5090.56
